date,timestamp,minimum spectral radiance at 3.9 µm,maximum spectral radiance at 3.9 µm,mean spectral radiance at 3.9 µm
2015-12-05 05:00:00,1449291600000,0.1203,0.389745,0.190869
2015-12-05 05:15:00,1449292500000,0.115488,0.377716,0.19119
2015-12-05 05:30:00,1449293400000,0.115488,0.300732,0.186271
2015-12-05 05:45:00,1449294300000,0.122706,0.27908,0.183063
2015-12-05 06:00:00,1449295200000,0.1203,0.310355,0.184507
2015-12-05 06:15:00,1449296100000,0.125111,0.242994,0.177717
2015-12-05 06:30:00,1449297000000,0.127517,0.324789,0.187501
2015-12-05 06:45:00,1449297900000,0.129923,0.336818,0.193649
2015-12-05 07:00:00,1449298800000,0.141952,0.394556,0.202096
2015-12-05 07:15:00,1449299700000,0.144357,0.406585,0.211558
2015-12-05 07:30:00,1449300600000,0.153981,0.332007,0.21637
2015-12-05 07:45:00,1449301500000,0.161198,0.399368,0.232943
2015-12-05 08:00:00,1449302400000,0.168415,0.459512,0.246789
2015-12-05 08:15:00,1449303300000,0.161198,0.531684,0.272611
2015-12-05 08:30:00,1449304200000,0.202096,0.543713,0.292606
2015-12-05 08:45:00,1449305100000,0.21653,0.514844,0.308323
2015-12-05 09:15:00,1449306900000,0.221342,0.664001,0.349435
2015-12-05 09:30:00,1449307800000,0.238182,0.579799,0.348847
2015-12-05 09:45:00,1449308700000,0.250211,0.61348,0.360769
2015-12-05 10:15:00,1449310500000,0.27908,0.536496,0.380015
2015-12-05 10:30:00,1449311400000,0.252617,0.507627,0.378518
2015-12-05 10:45:00,1449312300000,0.286297,0.447483,0.367184
2015-12-05 11:00:00,1449313200000,0.247805,0.531684,0.37654
2015-12-05 11:15:00,1449314100000,0.264645,0.567771,0.394931
2015-12-05 11:30:00,1449315000000,0.274269,0.579799,0.417117
2015-12-05 11:45:00,1449315900000,0.238182,0.565365,0.427756
2015-12-05 12:15:00,1449317700000,0.276674,0.671218,0.432514
2015-12-05 12:30:00,1449318600000,0.276674,0.541307,0.396588
2015-12-05 12:45:00,1449319500000,0.281486,0.755419,0.400009
2015-12-05 13:15:00,1449321300000,0.271863,0.748202,0.361998
